id,name,city,rating,rating_count,cuisine,cost
278738,New Sher-E-Punjab,Kolkata,3.5,20,Indian,400
278860,Lo! - Low Carb and Keto Foods,Bangalore,4.4,100,Healthy Food,150
278862,Coal Barbecues Express,Chennai,3.1,100,Barbecue,1400
278909,Chulha Chauki Da Dhaba,Bangalore,4.3,500,North Indian,600
278910,Chulha Chauki Da Dhaba,Bangalore,4.3,100,North Indian,600
278911,Day To Day Restaurant,Vellore,3.6,100,Biryani,300
278921,Gabru Bistro & Cafe, New BEL Road,3.5,500,Indian,300
278926,CHEF KITCHEN FOOD,Bangalore,4.2,50,Indian,200
278979,Coal Barbecues Express,Chennai,3.6,100,Barbecue,1400
278980,Asia Kitchen By Mainland China,Bangalore,4.2,50,Asian,850
279012,Dilip Hotel Veg & Non Veg,Jhansi,2.7,50,North Indian,300
279021,Paratha Envy,Bangalore,4.4,100,North Indian,249
279024,Andhra Gunpowder,Bangalore,4.1,500,Andhra,350
279060,Sikandar Rolls,Bangalore,4.4,100,North Indian,300
279075,Rock and Roll,Purulia,4.4,50,Snacks,200
279085,Momo Nation Cafe (MNC),Chennai,4.2,100,Chinese,200
279093,Zwarma,Tirupur,4,100,Arabian,250
279102,KI TAKEAWAY,Chennai,4.1,100,South Indian,300
279159,Tataki - Immersive Asian Dining,Central-goa,4.4,50,Seafood,1800
279166,PK CAFE,Krishnagiri,3.6,20,Desserts,200
279171,Express Thali By Rajwada,Jabalpur,3.9,100,Indian,300
279179,Punjabi Biryani Point,Itarsi,3.2,50,Biryani,150
279188,Bingo Burger,Chennai,3.8,100,Continental,150
279189,The Arabian Kitchen,Vizag,3.1,100,Biryani,200
279266,SHREE SAI BHAVAN,Tirupur,3.7,100,Indian,250
279268,DOSA JUNCTION,Tirupur,3.4,20,Indian,150
279279,SHAMBY'S PIZZA CAFE,Erode,3.3,50,Pizzas,300
279283,SRI AMMAN RELAX,Tirupur,3.7,50,South Indian,300
279286,Madurai Military Mess,Chennai,4,500,South Indian,150
279305,Garden Bar Restaurant,North-goa,4.7,20,North Indian,300
279309,Baa Bistro,Delhi,3.7,20,Street Food,300
279326,THE CURRY - TASTE OF MADURAI,Bangalore,4.3,100,South Indian,500
279395,Noodle Doodle,Chennai,3.8,100,Chinese,250
279404,Noodle Doodle,Chennai,3.8,50,Chinese,250
279448,KHALSA HOTEL,Adityapur,4.1,100,Indian,399
279452,Hungry Panda - Deliciously Chinese,Bangalore,3.8,20,Chinese,600
279462,Lassi Shop gv mall,Khammam,3.7,100,Desserts,200
279465,The Street Cafe,Bhatkal,4.2,50,Snacks,200
279467,Janta Thali,Jhansi,3.2,50,North Indian,250
279580,Punjab di Thali,Kolkata,4.1,100,Thalis,300
279583,Chacha de Paranthe,Delhi,4.2,20,Indian,250
279584,Sri Balaji Chapathi Stall,Chennai,4.2,100,Home Food,150
279600,Ohhio chocolates,Tirupur,3.8,50,Snacks,150
279615,Sankar Cafe,Trichy,4.2,100,Indian,250
279617,OH CHINA,Sultanpur,4.5,20,Indian,250
279693,REGAL CAKES & BAKERS,Pune,2.8,20,Desserts,250
279694,Food Nirvana,Chennai,4.6,100,Continental,500
279720,Cuebebar,North-goa,4.1,100,Continental,500
279735,Easy Bites by Hotel Empire,Bangalore,3.9,50,Snacks,150
279738,The Empire Juice Shop,Mysore,4,50,Ice Cream,200
279740,OORU KADAI 63,Chennai,2.7,100,South Indian,250
279741,Easy Bites by Hotel Empire,Bangalore,3.9,100,Snacks,200
279804,EDAM ART CAFE,Kochi,3.5,20,Continental,250
279814,The Empire Juice Shop,Bangalore,4.2,20,Ice Cream,200
279815,MAGGINATION,Bangalore,4.1,50,Indian,200
279817,The Empire Juice Shop,Bangalore,3.9,20,Juices,200
279821,The Empire Juice Shop,Bangalore,4,50,Juices,200
279827,Haldiram's,Delhi,3.8,100,Sweets,500
279861,The Empire Juice Shop,Bangalore,4,50,Juices,200
279863,Home Plate by EatFit,Delhi,3.7,100,North Indian,160
279871,Atmosphere,Dibrugarh,4,100,Continental,500
279876,Raj Biriyani Hub,Dibrugarh,2.7,20,Mughlai,200
279890,NELLORE SPICE,Chennai,3.8,20,South Indian,200
279897,ZROOZ GRAND RESTAURANT BAKERS,Thiruvananthapuram,3.8,100,Indian,200
279904,Domino's Pizza,Pune,4.1,100,Pizzas,400
279906,Domino's Pizza,Jalpaiguri,4.4,100,Pizzas,400
279909,Sly Granny,Delhi,3.8,50,Pizzas,1000
280047,HNESHEL BURI,Kolkata,4.1,100,Bengali,140
280048,Curry Lounge,Bikaner,4,100,North Indian,400
280050,Chulha Chauki Da Dhaba,Bangalore,4.2,500,North Indian,600
280071,BROTHERS RESTAURANT,Gurgaon,2.3,20,Indian,200
280208,chawla express,Delhi,3.6,20,North Indian,150
280212,JAYA'S RESTAURANT,Silchar,3.5,100,Biryani,250
280216,Lavonne,Bangalore,4.3,100,Bakery,1000
280217,Hakka Xpress (Chinese),Chennai,3.7,100,Chinese,350
280218,Biryani Drama,Mumbai,4,20,Indian,300
280220,Qmin,Bangalore,4.1,100,Beverages,200
280223,Moghal Darbar Family And Garden Restaurant,Kalaburagi,3.4,100,Biryani,250
280287,ICECREAM FACTORY & SHAHI DURBAR,Bhopal,4.2,100,Desserts,150
280289,Mcrennett ( Ambattur),Chennai,4.3,100,Bakery,300
280319,Cream Choc,Central-goa,4.5,100,Desserts,800
280332,DIM SUM SHELTER,Chennai,3.8,20,Chinese,250
280350,"Mcrennett (Thirumizhisai(M.H), Poonamallee)",Chennai,3.9,20,Bakery,300
280351,Shenoy's,Cherthala,3.8,100,South Indian,200
280352,Arabian Durbar,Karunagappaly,4.1,100,Arabian,200
280427,Chetan Egg,Mehsana,5,20,Home Food,250
280448,Aditya Vada Pav,Central-goa,4,100,Fast Food,200
280449,Chicago Pizza,Delhi,3.8,100,Pizzas,200
280451,Rasna Buzz,Surat,3.6,20,Beverages,300
280464,GLOBAL MASTER KITCHEN,Kolkata,4.1,50,Bengali,400
280483,The Empire Juice Shop,Bangalore,4,20,Ice Cream,200
280486,Cake Wala,Agra,3.8,100,Bakery,500
280495,The Empire Juice Shop,Bangalore,4.1,20,Ice Cream,200
280507,Courtyard by Marriott,Chennai,4,20,Biryani,700
280569,The Empire Juice Shop,Bangalore,4,50,Juices,200
280570,Kidilum Grand,Bangalore,3.9,100,Chinese,500
280572,The Manor,Jorhat,3.4,20,Chinese,300
280578,Chickpet Donne Biryani House Miyapur,Hyderabad,3.7,500,Biryani,400
280598,HOTEL ELITE INTERNATIONAL,Thrissur,3.9,100,Indian,200
280619,South Kitchen,Bareilly,3,50,South Indian,200
280639,Fat Belly,Jorhat,4.2,500,Chinese,400
280644,Spice Mantraa,Central-goa,4.2,100,Biryani,500
280646,NOAA,Central-goa,3.4,20,Sushi,500
280647,ABSOLUTE SAMOSA,Delhi,2.7,20,Snacks,150
280656,Salt Bar and restaurant,North-goa,4.5,100,Continental,600
280657,Ministry of Ice Creams,Bangalore,3.7,20,Ice Cream,200
280736,Sunny Side Up,Central-goa,4,100,North Indian,500
280738,Biryani Adda,Central-goa,3.6,20,Indian,500
280746,Cream Choc - Anjuna,North-goa,4.8,50,Desserts,500
280748,Biryani Factory,North-goa,4.1,50,Biryani,400
280749,Indian Darbar,North-goa,3.9,20,Indian,400
280755,Khichdi Kahani,Bangalore,3.3,50,Indian,200
280756,Khichdi Kahani,Bangalore,3.5,50,North Indian,200
280758,Dream Catch,Alappuzha,3,20,Beverages,200
280762,SHAWARMA MAN,Chennai,4.4,50,North Indian,300
280767,Royale Rolls,Bangalore,3,20,Continental,200
280771,CHAMAIL SINGH DA DHABA,Gurgaon,3.4,20,North Indian,299
280818,FB CAKES N BREADS,Chennai,4.4,20,Indian,200
280830,HOTEL ELUMALAYAN,Chennai,3.8,20,South Indian,200
280839,SHREE HARINI FOODS,Chennai,3.7,50,South Indian,200
280852,BOSS Burger,Mumbai,4,100,American,500
280875,HOTEL KESAVA BHAVAN,Chennai,4.1,100,Indian,200
280907,Beans & bread,Purulia,4,20,North Indian,200
280915,MOMO BOX,Sultanpur,4.3,20,Chinese,250
281021,BIMBOX - Burger In My Box,Delhi,4,100,American,550
281023,POMP - Pizza On My Plate,Delhi,4.1,100,Pizzas,700
281037,Home Plate by EatFit,Gurgaon,3.8,100,North Indian,160
281052,The Calicut Biryani,Pune,3.8,20,Kerala,400
281152,SMS EVENING FAST FOOD,Bangalore,4,100,North Indian,400
281155,South Spicy Bites Xpress,Bangalore,4,50,Biryani,299
281158,Toit,Pune,4.3,100,Italian-American,850
281159,Vahini,Kolhapur,4.4,100,Maharashtrian,200
281220,TASTE OF BIHAR,Bangalore,3.4,20,Indian,300
281221,BIRIYANI HOUSE,Bangalore,2.4,20,Biryani,350
281229,Jharokha Restaurant The Arihant Palace,Jabalpur,3.9,100,Indian,400
281231,Pind Balluchi,Kanpur,3.8,100,North Indian,500
281276,Yo Momo,Berhampur,3.6,100,Chinese,200
281279,Quick Bites,Vellore,3.8,20,Grill,200
281282,MINI PUNJAB,North-goa,3.8,20,North Indian,400
281283,Punjabi Zaika,North-goa,3.4,20,North Indian,400
281399,Carnatic Cafe,Delhi,4.4,100,South Indian,400
281456,Santosh Sagar,Mumbai,4.2,100,South Indian,550
281469,Lavonne,Bangalore,4.4,100,Bakery,750
281480,35 BEST BIKANERI TASTE,Bangalore,2.9,20,Indian,250
281481,Neev's,Jorhat,4.2,100,Chinese,250
281488,CELEBRATION CAKE SHOP,Gurgaon,3.9,20,Bakery,350
281490,Pepper n Mint,Karnal,3.5,20,North Indian,200
281493,Bengal Sweets,Bhubaneswar,4.4,100,Sweets,100
281552,UDUPI CAFE,Bangalore,4.1,100,North Indian,200
281572,AYSWARIYA HOTEL,Thiruvananthapuram,4.2,100,Biryani,200
281583,Nashta Wala,Kolkata,3.8,100,Chinese,250
281602,harvest club,Pune,4.5,20,Indian,700
281604,Ram G Samose Wala,Delhi,3.7,100,Snacks,100
281692,EAT & TREAT - VINAYAKA HOTEL,Patna,3.2,100,Chinese,300
281693,Marry Brown,Dindigul,3.6,20,American,250
281709,Marriott Bonvoy on Wheels - JW Marriott,Chandigarh,3.7,20,Continental,1000
281710,JW Kitchen - JW Marriott,Bangalore,3.3,20,Indian,1000
281711,Flavours by WelcomHotel,Vizag,4.1,100,Indian,1000
281781,Kwality Walls Frozen Dessert and Ice Cream Shop,Krishnanagar,4.7,20,Desserts,100
281804,Hotel Annapurna,Medinipur,3.8,50,Bengali,300
281835,Yauatcha,Bangalore,4.3,50,Chinese,1800
281891,SIOLIM DECK,North-goa,3.8,20,Indian,300
281956,BARKAS ARABIAN KITCHENS,Rajahmundry,3.6,100,Arabian,450
281957,BISMILLAH BRIYANI AND FASTFOOD,Cuddalore,3.3,20,Biryani,200
282040,Flavours by ITC Hotels,Hyderabad,3.9,20,Indian,1000
282058,Sri Gayathripuram Food Court,Hyderabad,3.8,100,Indian,300
282159,Biggies Burger,Kolkata,3.8,100,American,300
282162,The Fruit Bowl Co,Chennai,4.6,1000,Juices,250
282220,TIFFIN 727,Thrissur,3.8,20,Arabian,200
282223,TAMILNADU VEGETARIAN RESTAURANT,Cuddalore,4.1,100,South Indian,200
282245,CafeHub,Silchar,3.6,500,Biryani,300
282333,Dilwalon ki Delhi,North-goa,4.1,20,Snacks,500
282336,PIZZERIA 720 RESTAURANT,Belgaum,4.2,20,Continental,250
282338,Mainland China,Kolkata,4.5,100,Chinese,1700
282342,Le Green Cafe,Tezpur,3.8,20,Biryani,160
282355,THE SAMBA BIRYANI,Chennai,4,100,Biryani,250
282370,ROYAL ROLLZ,Chennai,3.9,20,Snacks,250
282371,GRAMATHU MUN VAASAN,Chennai,2.9,20,Indian,250
282422,Bunwich,Chennai,3.9,20,Beverages,200
282428,99 Pizza,Vellore,4.2,100,Pizzas,200
282474,Pirates of Grill,Bikaner,4.4,100,North Indian,600
282477,Juice World Fresh N Juicy,Chennai,4.1,100,Juices,250
282497,ACHAYATHIS RESTAURANT,Chennai,4.3,1000,Kerala,600
282517,Pind Da Swad,Pune,3.5,20,North Indian,300
282518,Pind Da Swad,Pune,4,100,North Indian,300
282522,Basant Factory Outlet,Ludhiana,4.6,20,Ice Cream,150
282576,The Patio by Pizza delizia,North-goa,3.8,100,Italian,800
282620,Bunwich,Chennai,3.8,20,Beverages,200
282628,KADIAPATTANAM MILITARY HOTEL,Vijayawada,3.6,100,Biryani,250
282630,TIME OUT,Adityapur,4.1,100,Chaat,299
282720,Kava - Fairfield by Marriott Whitefield,Bangalore,3.8,20,North Indian,600
282721,M Cafe at Marriott Whitefield,Bangalore,4,20,Indian,1000
282724,Hungry Junction,Jorhat,3.9,20,Fast Food,150
282725,FULL HOUSE - AQUILARIA CLUBHOUSE,Agartala,4.3,100,Chinese,600
282743,SANTRUPTI BIRIYANI MANE,Bangalore,4.1,50,Biryani,250
282753,RTS Cafe,Aligarh,3,20,Fast Food,200
282808,ROLL STONE,Chennai,3.9,100,Desserts,250
282812,Zaikana,Mansa,3.4,20,North Indian,200
282971,DINGAN KITCHEN,Thiruvananthapuram,3.8,100,South Indian,300
282979,COOL ZONE,Thiruvananthapuram,4.4,100,Beverages,200
282987,Bowls & Biryanis,Hyderabad,3,20,North Indian,300
282990,Once upon a Noodle by Ambuja Neotia,Kolkata,4.3,20,Chinese,599
282992,DINE @ KUMARS,Thiruvananthapuram,4.3,5000,Indian,400
283010,The Chocolate Room,Madurai,3.8,20,Italian,150
283018,Moriz Restaurant,Bangalore,3.7,100,Chinese,600
283075,"Express	By	Ab'S",Vadodara,3.7,100,Biryani,400
283089,Navaratna- Udupi Pure Veg,Central-goa,4.1,100,South Indian,500
283095,Mr. Idli Ultimate Food House,Bhopal,3.7,20,South Indian,150
283195,XPREES DHABA,Bangalore,3.4,20,Punjabi,300
283196,Krishna Kuteera,Bangalore,4.3,1000,South Indian,200
283197,Chowpatty Chaska,Central-goa,3.9,20,Fast Food,300
283198,ITALIAN CAFE,Dharmapuri,3.7,50,Italian,250
283205,WAGH BAKRI TEA LOUNGE,Sultanpur,4.4,20,Beverages,500
283214,EXPRESS BY AB'S,Patna,3.5,100,Biryani,400
283216,Express By Ab'S,Ahmedabad,3.5,50,Biryani,400
283218,Harbour Cafe- The Crown,Central-goa,3.5,20,North Indian,600
283223,EXPRESS BY AB'S,Guwahati,3.7,100,Biryani,400
283224,The Hebbal Cafe - Courtyard by Marriott,Bangalore,3.1,20,Indian,1000
283319,What'a pizza,Amritsar,3.1,20,Indian,200
283326,Dariole,Kolkata,4.5,100,Bakery,150
283332,Subway,Imphal,4.2,100,Fast Food,250
283335,EXPRESS BY AB'S,Vizag,3.9,100,Biryani,400
283357,TANDOOR PARK BEHALA,Kolkata,4.3,500,North Indian,600
283418,Once upon a Noodle by Ambuja Neotia,Kolkata,3.9,50,Chinese,599
283472,Zaika Restaurant,Imphal,3.9,50,Indian,350
283554,KAMAT CAFE and CHATS,Hubli,2.9,50,South Indian,150
283559,VINVARUN FOODS,Chennai,4.4,20,Indian,200
283561,The Little South Restaurant,Jorhat,4.3,100,South Indian,150
283664,Erode Biryani,Coimbatore,3.6,20,Indian,200
283725,THE BROAST,Cuttack,3.6,20,Continental,250
283732,DYNASTY AK Plaza,Rajapalayam,4,50,Chinese,299
283744,Mayfair Bakery,Bhagalpur,3.7,20,Bakery,100
283745,MayFair Family Rastaurant,Bhagalpur,3.7,50,North Indian,150
283751,Roti & Curry,Bharabanki,4.1,20,North Indian,149
283808,Sevendays,Vijayawada,3.6,20,Bakery,250
283939,Earthen Delicacies,Bangalore,4.1,100,Indian,400
283957,SREE AKSHAYAM,Chennai,4.3,5000,Chinese,200
283967,Biergarten Brewery & Kitchen,Bangalore,4.2,100,Indian,1000
283971,Chai Central,Bangalore,4,100,Beverages,150
283974,HOTEL SOFT,Kannur,4.2,100,Indian,300
284022,Monginis Cake Shop,Pune,4.1,20,Desserts,400
284032,Fairfield by Marriott,Kolkata,3.8,20,Indian,1000
284040,Kadhi Chawal(Pure Veg),Motihari,4.2,20,Indian,200
284045,Jalaram Parotha House - Townhallwala,Ahmedabad,3.8,50,Indian,200
284046,Mainland China,Kolkata,4.4,100,Chinese,850
284047,Bhimnag's Brother SreenathNag (Factory Outlet),Kolkata,4.5,100,Sweets,200
284153,Flavours by ITC Hotels,Delhi,4.2,20,Indian,1000
284161,DADA DOSA,Aurangabad,4.3,100,South Indian,200
284174,Hotel Sri Ashok Bhavan,Palakkad,4.2,100,Chinese,199
284177,Chhotu Kolhapuri,Tumakuru,4,50,Maharashtrian,100
284180,FOODIESTAN,Sambalpur,4.4,50,North Indian,150
284237,Bawarchi Biryani - The Royal Chef,Central-goa,4,100,Biryani,300
284239,Home Plate by EatFit,Mumbai,3.8,100,North Indian,160
284241,Aryaas Park,Changanassery,4.3,100,South Indian,200
